epoch,status,http_code,latency_ms
1783140841.921,PASS,200,23
1783140842.053,PASS,200,20
1783140842.183,PASS,200,19
1783140842.311,PASS,200,19
1783140842.440,PASS,200,17
1783140842.568,PASS,200,18
1783140842.696,PASS,200,17
1783140842.824,PASS,200,19
1783140842.953,PASS,200,21
1783140843.084,PASS,200,18
1783140843.213,PASS,200,19
1783140843.343,PASS,200,26
1783140843.479,PASS,200,17
1783140843.606,PASS,200,19
1783140843.734,PASS,200,19
1783140843.862,PASS,200,20
1783140844.002,PASS,200,18
1783140844.130,PASS,200,20
1783140844.260,PASS,200,19
1783140844.390,PASS,200,17
1783140844.518,PASS,200,20
1783140844.646,PASS,200,18
1783140844.773,PASS,200,19
1783140844.901,PASS,200,19
1783140845.028,PASS,200,19
1783140845.156,PASS,200,20
1783140845.285,PASS,200,19
1783140845.413,PASS,200,17
1783140845.541,PASS,200,18
1783140845.667,PASS,200,19
1783140845.795,PASS,200,18
1783140845.924,PASS,200,20
1783140846.053,PASS,200,19
1783140846.184,PASS,200,19
1783140846.312,PASS,200,19
1783140846.440,PASS,200,19
1783140846.568,PASS,200,18
1783140846.697,PASS,200,19
1783140846.825,PASS,200,19
1783140846.954,PASS,200,19
1783140847.082,PASS,200,19
1783140847.210,PASS,200,20
1783140847.341,PASS,200,17
1783140847.469,PASS,200,17
1783140847.595,PASS,200,19
1783140847.723,PASS,200,19
1783140847.852,PASS,200,17
1783140847.979,PASS,200,27
1783140848.117,PASS,200,18
1783140848.246,PASS,200,19
1783140848.373,PASS,200,19
1783140848.501,PASS,200,19
1783140848.634,PASS,200,19
1783140848.763,PASS,200,17
1783140848.890,PASS,200,18
1783140849.019,PASS,200,19
1783140849.147,PASS,200,17
1783140849.274,PASS,200,19
1783140849.403,PASS,200,18
1783140849.530,PASS,200,19
1783140849.659,PASS,200,18
1783140849.787,PASS,200,19
1783140849.915,PASS,200,19
1783140850.043,PASS,200,19
1783140850.170,PASS,200,18
1783140850.298,PASS,200,18
1783140850.426,PASS,200,17
1783140850.553,PASS,200,18
1783140850.680,PASS,200,18
1783140850.808,PASS,200,17
1783140850.935,PASS,200,18
1783140851.063,PASS,200,19
1783140851.191,PASS,200,19
1783140851.321,PASS,200,18
1783140851.449,PASS,200,19
1783140851.576,PASS,200,18
1783140851.703,PASS,200,18
1783140851.831,PASS,200,17
1783140851.959,PASS,200,18
1783140852.087,PASS,200,18
1783140852.214,PASS,200,19
1783140852.342,PASS,200,19
1783140852.470,PASS,200,19
1783140852.598,PASS,200,17
1783140852.726,PASS,200,18
1783140852.854,PASS,200,17
1783140852.980,PASS,200,29
1783140853.118,PASS,200,17
1783140853.245,PASS,200,17
1783140853.371,PASS,200,17
1783140853.498,PASS,200,19
1783140853.627,PASS,200,18
1783140853.755,PASS,200,18
1783140853.883,PASS,200,19
1783140854.012,PASS,200,18
1783140854.140,PASS,200,17
1783140854.268,PASS,200,18
1783140854.395,PASS,200,19
1783140854.524,PASS,200,19
1783140854.652,PASS,200,19
1783140854.779,PASS,200,19
1783140854.907,PASS,200,19
1783140855.036,PASS,200,19
1783140855.164,PASS,200,19
1783140855.292,PASS,200,17
1783140855.420,PASS,200,20
1783140855.550,PASS,200,18
1783140855.678,PASS,200,18
1783140855.804,PASS,200,18
1783140855.932,PASS,200,19
1783140856.062,PASS,200,23
1783140856.195,PASS,200,21
1783140856.325,PASS,200,21
1783140856.456,PASS,200,18
1783140856.584,PASS,200,17
1783140856.712,PASS,200,19
1783140856.840,PASS,200,18
1783140856.967,PASS,200,19
1783140857.095,PASS,200,19
1783140857.223,PASS,200,20
1783140857.353,PASS,200,19
1783140857.481,PASS,200,19
1783140857.610,PASS,200,19
1783140857.738,PASS,200,19
1783140857.866,FAIL,000,4019
1783140862.003,FAIL,000,4020
1783140866.146,FAIL,000,4032
1783140870.291,FAIL,000,4021
1783140874.421,FAIL,000,4016
1783140878.545,FAIL,000,4014
1783140882.669,FAIL,000,4017
1783140886.795,FAIL,000,4013
1783140890.918,FAIL,000,4013
1783140895.041,FAIL,000,4015
1783140899.164,FAIL,000,4016
1783140903.288,FAIL,000,4016
1783140907.414,FAIL,000,4013
1783140911.537,FAIL,000,4018
1783140915.663,FAIL,000,4016
1783140919.788,FAIL,000,4017
1783140923.914,FAIL,000,4016
1783140928.039,FAIL,000,4014
